Time (s),OpenLoop,ClosedLoop,Optimised,Expected
0.366,0,0,0,0
0.368,0,0,0,0
0.37,0,0,0,0
0.372,0,0,0,0
0.374,0,0,0,0
0.376,0,0,0,0
0.378,0,0,0,0
0.38,0,0,0,0
0.382,0,0,0,0
0.384,0,0,0,0
0.386,0,0,0,0
0.388,0,0,0,0
0.39,0,0,0,0
0.392,0,0,0,0
0.394,0,0,0,0
0.396,0,0,0,0
0.398,0,0,0,0
0.4,0,0,0,0
0.402,0,0,0,0
0.404,0,0,0,0
0.406,0,0,0,0
0.408,0,0,0,0
0.41,0,0,0,0
0.412,0,0,0,0
0.414,0,0,0,0
0.416,0,0,0,0
0.418,0,0,0,0
0.42,0,0,0,0
0.422,0,0,0,0
0.424,0,0,0,0
0.426,0,0,0,0
0.428,0,0,0,0
0.43,0,0,0,0
0.432,0,0,0,0
0.434,0,0,0,0
0.436,0,0,0,0
0.438,0,0,0,0
0.44,0,0,0,0
0.442,0,0,0,0
0.444,0,0,0,0
0.446,0,0,0,0
0.448,0,0,0,0
0.45,0,0,0,0
0.452,0,0,0,0
0.454,0,0,0,0
0.456,0,0,0,0
0.458,0,0,0,0
0.46,0,0,0,0
0.462,0,0,0,0
0.464,0,0,0,0
0.466,0,0,0,0
0.468,0,0,0,0
0.47,0,0,0,0
0.472,0,0,0,0
0.474,0,0,0,0
0.476,0,0,0,0
0.478,0,0,0,0
0.48,0,0,0,0
0.482,0,0,0,0
0.484,0,0,0,0
0.486,0,0,0,0
0.488,0,0,0,0
0.49,0,0,0,0
0.492,0,0,0,0
0.494,0,0,0,0
0.496,0,0,0,0
0.498,0,0,0,0
0.5,0,0,0,0
0.502,0,0,0,0
0.504,0,0,0,0
0.506,0,0,0,0
0.508,0,0,0,0
0.51,0,0,0,0
0.512,0,0,0,0
0.514,0,0,0,0
0.516,0,0,0,0
0.518,0,0,0,0
0.52,0,0,0,0
0.522,0,0,0,0
0.524,0,0,0,0
0.526,0,0,0,0
0.528,0,0,0,0
0.53,0,0,0,0
0.532,0,0,0,0
0.534,0,0,0,0
0.536,0,0,0,0
0.538,0,0,0,0
0.54,0,0,0,0
0.542,0,0,0,0
0.544,0,0,0,0
0.546,0,0,0,0
0.548,0,0,0,0
0.55,0,0,0,0
0.552,0,0,0,0
0.554,0,0,0,0
0.556,0,0,0,0
0.558,0,0,0,0
0.56,0,0,0,0
0.562,0,0,0,0
0.564,0,0,0,0
0.566,0,0,0,0
0.568,0,0,0,0
0.57,0,0,0,0
0.572,0,0,0,0
0.574,0,0,0,0
0.576,0,0,0,0
0.578,0,0,0,0
0.58,0,0,0,0
0.582,0,0,0,0
0.584,0,0,0,0
0.586,0,0,0,0
0.588,0,0,0,0
0.59,0,0,0,0
0.592,0,0,0,0
0.594,0,0,0,0
0.596,0,0,0,0
0.598,0,0,0,0
0.6,0,0,0,0
0.602,0,0,0,0
0.604,0,0,0,0
0.606,0,0,0,0
0.608,0,0,0,0
0.61,0,0,0,0
0.612,0,0,0,0
0.614,0,0,0,0
0.616,0,0,0,0
0.618,0,0,0,0
0.62,0,0,0,0
0.622,0,0,0,0
0.624,0,0,0,0
0.626,0,0,0,0
0.628,0,0,0,0
0.63,0,0,0,0
0.632,0,0,0,0
0.634,0,0,0,0
0.636,0,0,0,0
0.638,0,0,0,0
0.64,0,0,0,0
0.642,0,0,0,0
0.644,0,0,0,0
0.646,0,0,0,0
0.648,0,0,0,0
0.65,0,0,0,0
0.652,0,0,0,0
0.654,0,0,0,0
0.656,0,0,0,0
0.658,0,0,0,0
0.66,0,0,0,0
0.662,0,0,0,0
0.664,0,0,0,0
0.666,0,0,0,0
0.668,0,0,0,0
0.67,0,0,0,0
0.672,0,0,0,0
0.674,0,0,0,0
0.676,0,0,0,0
0.678,0,0,0,0
0.68,0,0,0,0
0.682,0,0,0,0
0.684,0,0,0,0
0.686,0,0,0,0
0.688,0,0,0,0
0.69,0,0,0,0
0.692,0,0,0,0
0.694,0,0,0,0
0.696,0,0,0,0
0.698,0,0,0,0
0.7,0,0,0,0
0.702,0,0,0,0
0.704,0,0,0,0
0.706,0,0,0,0
0.708,0,0,0,0
0.71,0,0,0,0
0.712,0,0,0,0
0.714,0,0,0,0
0.716,0,0,0,0
0.718,0,0,0,0
0.72,0,0,0,0
0.722,0,0,0,0
0.724,0,0,0,0
0.726,0,0,0,0
0.728,0,0,0,0
0.73,0,0,0,0
0.732,0,0,0,0
0.734,0,0,0,0
0.736,0,0,0,0
0.738,0,0,0,0
0.74,0,0,0,0
0.742,0,0,0,0
0.744,0,0,0,0
0.746,0,0,0,0
0.748,0,0,0,0
0.75,0,0,0,0
0.752,0,0,0,0
0.754,0,0,0,0
0.756,0,0,0,0
0.758,0,0,0,0
0.76,0,0,0,0
0.762,0,0,0,0
0.764,0,0,0,0
0.766,0,0,0,0
0.768,0,0,0,0
0.77,0,0,0,0
0.772,0,0,0,0
0.774,0,0,0,0
0.776,0,0,0,0
0.778,0,0,0,0
0.78,0,0,0,0
0.782,0,0,0,0
0.784,0,0,0,0
0.786,0,0,0,0
0.788,0,0,0,0
0.79,0,0,0,0
0.792,0,0,0,0
0.794,0,0,0,0
0.796,0,0,0,0
0.798,0,0,0,0
0.8,0,0,0,0
0.802,0,0,0,0
0.804,0,0,0,0
0.806,0,0,0,0
0.808,0,0,0,0
0.81,0,0,0,0
0.812,0,0,0,0
0.814,0,0,0,0
0.816,0,0,0,0
0.818,0,0,0,0
0.82,0,0,0,0
0.822,0,0,0,0
0.824,0,0,0,0
0.826,0,0,0,0
0.828,0,0,0,0
0.83,0,0,0,0
0.832,0,0,0,0
0.834,0,0,0,0
0.836,0,0,0,0
0.838,0,0,0,0
0.84,0,0,0,0
0.842,0,0,0,0
0.844,0,0,0,0
0.846,0,0,0,0
0.848,0,0,0,0
0.85,0,0,0,0
0.852,0,0,0,0
0.854,0,0,0,0
0.856,0,0,0,0
0.858,0,0,0,0
0.86,0,0,0,0
0.862,0,0,0,0
0.864,0,0,0,0
0.866,0,0,0,0
0.868,0,0,0,0
0.87,0,0,0,0
0.872,0,0,0,0
0.874,0,0,0,0
0.876,0,0,0,0
0.878,0,0,0,0
0.88,0,0,0,0
0.882,0,0,0,0
0.884,0,0,0,0
0.886,0,0,0,0
0.888,0,0,0,0
0.89,0,0,0,0
0.892,0,0,0,0
0.894,0,0,0,0
0.896,0,0,0,0
0.898,0,0,0,0
0.9,0,0,0,0
0.902,0,0,0,0
0.904,0,0,0,0
0.906,0,0,0,0
0.908,0,0,0,0
0.91,0,0,0,0
0.912,0,0,0,0
0.914,0,0,0,0
0.916,0,0,0,0
0.918,0,0,0,0
0.92,0,0,0,0
0.922,0,0,0,0
0.924,0,0,0,0
0.926,0,0,0,0
0.928,0,0,0,0
0.93,0,0,0,0
0.932,0,0,0,0
0.934,0,0,0,0
0.936,0,0,0,0
0.938,0,0,0,0
0.94,0,0,0,0
0.942,0,0,0,0
0.944,0,0,0,0
0.946,0,0,0,0
0.948,0,0,0,0
0.95,0,0,0,0
0.952,0,0,0,0
0.954,0,0,0,0
0.956,0,0,0,0
0.958,0,0,0,0
0.96,0,0,0,0
0.962,0,0,0,0
0.964,0,0,0,0
0.966,0,0,0,0
0.968,0,0,0,0
0.97,0,0,0,0
0.972,0,0,0,0
0.974,0,0,0,0
0.976,0,0,0,0
0.978,0,0,0,0
0.98,0,0,0,0
0.982,0,0,0,0
0.984,0,0,0,0
0.986,0,0,0,0
0.988,0,0,0,0
0.99,0,0,0,0
0.992,0,0,0,0
0.994,0,0,0,0
0.996,0,0,0,0
0.998,0,0,0,0
1,0,0,0,100
1.002,0,0,0,100
1.004,0,0,0,100
1.006,0,0,0,100
1.008,0,0,0,100
1.01,0,0,0,100
1.012,0,0,0,100
1.014,0,0,0,100
1.016,0,0,0,100
1.018,0,0,0,100
1.02,0,0,0,100
1.022,0,0,0,100
1.024,0,0,0,100
1.026,0,0,0,100
1.028,0,0,0,100
1.03,0,0,0,100
1.032,0,0,0,100
1.034,0,0,0,100
1.036,0,0,0,100
1.038,0,0,0,100
1.04,0,0,0,100
1.042,0,0,0,100
1.044,0,0,0,100
1.046,0,0,0,100
1.048,0,0,0,100
1.05,0,0,0,100
1.052,0,0,0,100
1.054,0,0,0,100
1.056,0,0,0,100
1.058,0,0,0,100
1.06,0,0,0,100
1.062,0,0,0,100
1.064,0,0,0.460194,100
1.066,0,0,0.322136,100
1.068,0,0,0.225495,100
1.07,0,0,0.157847,100
1.072,0,0,0.110493,100
1.074,0,0,0.537539,100
1.076,0,0,0.376277,100
1.078,0,0,0.723588,100
1.08,0,0,0.506512,100
1.082,0,0,0.814752,100
1.084,0,0,0.570326,100
1.086,0,0,0.859423,100
1.088,0,0,1.06179,100
1.09,0,0.460194,0.743253,100
1.092,0,0.322136,0.980471,100
1.094,0.460194,0.225495,1.14652,100
1.096,0.322136,0.157847,1.26276,100
1.098,0.225495,0.110493,1.80432,100
1.1,0.157847,0.0773448,1.72322,100
1.102,0.110493,0.514335,1.66645,100
1.104,0.537539,0.360035,2.0869,100
1.106,0.376277,0.252024,1.92102,100
1.108,0.263394,0.176417,2.26511,100
1.11,0.184376,0.583686,2.50596,100
1.112,0.589257,0.40858,2.67456,100
1.114,0.41248,0.286006,2.79258,100
1.116,0.74893,0.660398,2.87519,100
1.118,0.524251,0.462279,3.39322,100
1.12,0.82717,0.783789,3.75583,100
1.122,0.579019,0.548652,3.54947,100
1.124,0.865507,0.844251,3.86521,100
1.126,1.06605,0.590975,4.08623,100
1.128,0.746234,0.873877,4.70114,100
1.13,0.982558,1.07191,4.67138,100
1.132,1.14798,0.750335,5.11074,100
1.134,1.26378,0.985429,5.41829,100
1.136,1.34484,1.14999,5.63358,100
1.138,1.40158,1.26519,5.78428,100
1.14,1.4413,1.34583,6.34997,100
1.142,1.46911,0.942079,6.74595,100
1.144,1.48857,1.11965,7.02313,100
1.146,1.50219,1.70414,7.21716,100
1.148,1.51173,1.65309,7.81318,100
1.15,1.9786,1.61736,8.23039,100
1.152,1.84521,1.59235,8.52244,100
1.154,2.21204,2.03503,8.72687,100
1.156,2.00862,1.88472,9.33017,100
1.158,2.32642,1.77949,9.75247,100
1.16,2.54888,2.16603,10.0481,100
1.162,2.24441,1.97642,10.255,100
1.164,2.49148,2.30388,10.8601,100
1.166,2.66442,2.5331,11.2836,100
1.168,2.78548,2.69356,12.0403,100
1.17,2.87023,2.80588,12.1097,100
1.172,2.92955,2.8845,13.0788,100
1.174,3.43126,2.93954,13.2969,100
1.176,3.32227,2.97807,13.9098,100
1.178,3.24598,3.00503,14.3388,100
1.18,3.65277,3.48411,14.6391,100
1.182,3.93752,3.35926,15.3095,100
1.184,3.67665,3.73207,15.7788,100
1.186,3.95424,3.53283,16.1073,100
1.188,4.14855,3.85357,17.2576,100
1.19,4.28457,4.07808,17.6027,100
1.192,4.37978,4.23524,17.8442,100
1.194,4.90662,4.34525,18.4735,100
1.196,4.81522,4.42226,19.3741,100
1.198,5.21143,4.47616,19.5444,100
1.2,5.02858,4.97409,20.584,100
1.202,5.36078,4.86244,20.8515,100
1.204,5.59332,5.24449,21.499,100
1.206,5.7561,5.51192,22.4124,100
1.208,5.87005,5.69912,23.0518,100
1.21,5.94981,5.83016,23.4993,100
1.212,6.00564,5.92189,23.8126,100
1.214,6.50492,5.9861,24.4921,100
1.216,6.85441,6.03104,25.428,100
1.218,6.63887,6.5227,26.0831,100
1.22,6.94818,6.40667,26.5417,100
1.222,7.16469,6.78564,27.3228,100
1.224,7.31626,7.05092,27.8697,100
1.226,7.42235,7.23661,28.7127,100
1.228,7.95681,7.3666,29.3027,100
1.23,7.87074,7.45759,29.7158,100
1.232,8.27068,7.98148,30.4651,100
1.234,8.55064,7.888,30.9897,100
1.236,8.74661,8.28277,31.817,100
1.238,8.88379,8.09891,32.8564,100
1.24,8.97982,8.89059,33.5839,100
1.242,9.50723,8.98458,34.0932,100
1.244,9.41623,9.05037,34.9099,100
1.246,9.81272,9.09642,35.0214,100
1.248,10.0903,9.58885,36.0198,100
1.25,9.82435,9.47336,36.7187,100
1.252,10.0984,9.85271,37.6682,100
1.254,10.7504,10.1183,38.3328,100
1.256,10.7467,10.7643,38.798,100
1.258,11.2042,10.7564,40.044,100
1.26,11.5245,10.7508,40.456,100
1.262,11.7487,11.2071,40.7445,100
1.264,11.9056,11.0664,41.8668,100
1.266,12.0155,11.428,42.1922,100
1.268,12.0924,12.1413,42.8801,100
1.27,12.6064,12.1805,43.8219,100
1.272,12.9662,12.2079,44.9414,100
1.274,13.2181,12.6873,45.725,100
1.276,13.3944,12.5626,46.2735,100
1.278,13.5178,12.9356,46.6575,100
1.28,13.6042,13.1967,47.3864,100
1.282,14.1249,13.8396,47.8967,100
1.284,14.4894,13.8295,48.7141,100
1.286,14.7445,14.2826,49.2863,100
1.288,14.9231,14.5997,50.6072,100
1.29,15.0481,14.3616,51.0716,100
1.292,15.1356,14.655,51.3967,100
1.294,15.6571,15.3207,52.0845,100
1.296,16.0221,15.3264,52.5659,100
1.298,16.2776,15.7906,53.3631,100
1.3,16.4564,16.1156,54.3814,100
1.302,16.5816,16.343,55.0941,100
1.304,17.1295,16.5023,56.0533,100
1.306,17.0528,16.6137,56.2645,100
1.308,17.4593,17.1519,56.8725,100
1.31,17.7438,17.0685,57.2981,100
1.312,17.943,17.4703,58.0563,100
1.314,18.0824,17.7515,58.5869,100
1.316,18.6402,17.9484,59.8788,100
1.318,19.0307,18.5464,60.3229,100
1.32,19.304,18.965,60.6338,100
1.322,19.4953,18.7978,60.8514,100
1.324,19.6292,19.141,61.464,100
1.326,19.723,19.3812,62.3529,100
1.328,20.2488,19.5494,62.9752,100
1.33,20.6169,20.1273,63.4108,100
1.332,20.8745,20.5318,64.6361,100
1.334,21.0549,20.815,65.0336,100
1.336,21.1811,21.0132,64.8517,100
1.338,21.7297,21.152,65.6447,100
1.34,21.6535,21.2491,66.1998,100
1.342,22.0604,21.7773,66.5884,100
1.344,22.3452,21.6868,67.3206,100
1.346,23.0047,22.0837,67.8332,100
1.348,23.0062,22.3615,68.6521,100
1.35,23.4675,23.0161,69.2254,100
1.352,23.7903,23.4744,69.1665,100
1.354,23.5561,23.335,70.0457,100
1.356,24.3126,23.6976,70.2009,100
1.358,24.3819,23.9514,70.3096,100
1.36,24.8906,24.1291,71.306,100
1.362,24.7866,24.2535,71.5433,100
1.364,25.6341,24.8007,72.6298,100
1.366,25.7672,25.1838,72.47,100
1.368,25.8603,25.452,72.8183,100
1.37,25.9255,25.6397,73.5223,100
1.372,26.4314,25.7711,73.5549,100
1.374,26.7854,25.863,74.038,100
1.376,27.0333,26.3876,73.9159,100
1.378,27.667,26.2946,74.7508,100
1.38,27.6504,26.6897,75.3353,100
1.382,27.6388,27.4265,75.7444,100
1.384,28.0908,27.482,76.0308,100
1.386,28.4073,27.9811,76.2312,100
1.388,29.089,27.8703,76.3716,100
1.39,29.106,28.2529,76.4698,100
1.392,29.5781,28.5207,76.9988,100
1.394,29.9085,28.7082,77.369,100
1.396,30.1398,28.8394,77.6282,100
1.398,30.3018,29.3915,78.73,100
1.4,30.4151,29.7779,78.5809,100
1.402,30.9547,30.0484,78.0163,100
1.404,30.8721,29.7776,78.5415,100
1.406,31.2746,30.5084,78.449,100
1.408,32.0165,30.5597,78.8444,100
1.41,32.0756,30.5957,79.1211,100
1.412,32.117,31.0811,79.7751,100
1.414,32.6062,31.4208,80.2328,100
1.416,32.9486,31.6586,80.5533,100
1.418,33.1883,32.2853,80.3174,100
1.42,33.3561,32.2638,80.1523,100
1.422,33.4735,32.2487,80.4969,100
1.424,34.0159,32.6984,80.2779,100
1.426,34.3956,33.0131,80.5848,100
1.428,35.1216,33.2335,80.7996,100
1.43,34.7094,33.3877,81.4102,100
1.432,34.881,33.9558,81.3774,100
1.434,35.4614,33.8934,81.3545,100
1.436,35.4074,34.3098,81.3384,100
1.438,35.8299,34.6013,81.3272,100
1.44,36.1256,34.3452,81.3193,100
1.442,36.7927,34.6261,82.2342,100
1.444,37.2598,35.2829,82.8746,100
1.446,37.1265,35.2825,81.9423,100
1.448,37.4934,35.7424,82.2101,100
1.45,37.7502,36.0643,81.4772,100
1.452,37.93,36.2897,81.4243,100
1.454,38.0559,36.4474,81.8475,100
1.456,38.6041,36.5579,82.1437,100
1.458,38.5278,36.6352,81.8909,100
1.46,39.3947,37.1495,82.1741,100
1.462,39.5413,37.0493,81.9121,100
1.464,39.644,37.4393,81.7288,100
1.466,39.7158,38.1726,82.0606,100
1.468,39.7661,38.2257,82.2929,100
1.47,40.2615,38.2628,82.9157,100
1.472,40.6083,38.2888,82.4313,100
1.474,40.851,38.7672,82.0922,100
1.476,41.4812,38.6419,81.8548,100
1.478,41.9222,39.0144,82.1488,100
1.48,41.7708,39.2751,81.8945,100
1.482,42.125,39.9178,82.1766,100
1.484,41.9127,39.9075,81.9139,100
1.486,42.6845,39.9003,82.1902,100
1.488,42.7646,40.3555,82.8438,100
1.49,42.8207,40.2139,82.381,100
1.492,43.3201,40.5749,82.0569,100
1.494,43.6697,40.8277,81.8301,100
1.496,43.9144,41.0046,81.6714,100
1.498,44.0857,41.1285,81.5603,100
1.5,44.2056,41.6754,81.9427,100
1.502,44.2896,41.598,81.7501,100
1.504,44.8085,41.5438,82.5358,100
1.506,45.1718,41.9661,81.7051,100
1.508,45.4261,42.2617,81.5839,100
1.51,45.6041,42.4686,81.499,100
1.512,46.1889,42.6135,81.4396,100
1.514,46.138,42.7149,80.9378,100
1.516,46.1024,43.246,81.0467,100
1.518,46.5377,43.1577,81.123,100
1.52,46.8424,43.556,81.6366,100
1.522,47.0557,43.3746,81.5359,100
1.524,47.205,43.7079,81.4654,100
1.526,47.7697,43.9411,80.9559,100
1.528,48.165,43.6442,81.0594,100
1.53,47.9815,44.3568,80.6717,100
1.532,48.3133,44.8556,80.8604,100
1.534,48.5455,44.7445,80.5324,100
1.536,48.7081,44.6668,80.763,100
1.538,48.8218,44.6124,81.3845,100
1.54,48.9015,45.0345,80.8993,100
1.542,49.4175,44.8698,80.5596,100
1.544,50.2388,45.2147,80.3218,100
1.546,49.8934,45.4561,80.6155,100
1.548,50.1118,46.0853,80.361,100
1.55,50.2646,46.0655,80.1828,100
1.552,50.3716,46.0517,80.5182,100
1.554,50.9068,46.042,80.753,100
1.556,50.8211,46.0352,80.9174,100
1.558,51.6816,46.4907,80.5723,100
1.56,51.8237,46.8095,80.3307,100
1.562,51.9232,46.5725,80.1616,100
1.564,51.9928,47.3269,80.0432,100
1.566,52.0416,47.3949,79.9603,100
1.568,52.0757,46.9822,79.9023,100
1.57,53.02,47.1536,80.3219,100
1.572,53.2208,47.2735,80.6156,100
1.574,52.9011,47.3575,80.361,100
1.576,53.1376,48.3366,80.1828,100
1.578,53.3031,48.1017,80.058,100
1.58,53.419,47.9372,79.9707,100
1.582,53.9603,47.822,80.83,100
1.584,54.3392,48.2016,80.5111,100
1.586,54.6044,48.0072,79.8276,100
1.588,54.7901,48.3312,80.2696,100
1.59,54.92,48.5581,80.1188,100
1.592,55.011,49.177,80.0133,100
1.594,55.0747,49.1501,80.3996,100
1.596,55.1193,49.1313,80.2098,100
1.598,55.6107,49.1181,81.4575,100
1.6,55.4944,49.1089,80.4902,100
1.602,56.3335,49.1024,80.2732,100
1.604,56.4606,49.0979,80.5815,100
1.606,56.5496,49.5549,80.3372,100
1.608,56.6119,49.8749,80.6263,100
1.61,57.1157,49.6386,80.8287,100
1.612,56.548,49.9334,80.9704,100
1.614,57.071,49.6796,81.5297,100
1.616,57.437,49.9621,81.9213,100
1.618,58.1535,50.1599,80.8148,100
1.62,57.7346,50.2983,80.9606,100
1.622,57.9016,50.3952,81.0627,100
1.624,58.0185,50.4631,81.5944,100
1.626,58.1003,50.5105,81.5064,100
1.628,58.6178,50.5438,81.4447,100
1.63,58.5198,50.5671,82.322,100
1.632,58.9114,50.5833,82.4759,100
1.634,59.1856,50.5947,82.1234,100
1.636,59.3775,51.0629,82.3368,100
1.638,59.5118,50.9304,82.4863,100
1.64,59.6058,50.8377,82.1307,100
1.642,59.6716,51.6932,82.8021,100
1.644,59.7177,51.3716,82.812,100
1.646,60.2102,51.6067,83.2791,100
1.648,60.0947,51.3111,83.606,100
1.65,60.474,51.1042,83.8349,100
1.652,61.1998,51.4195,83.5349,100
1.654,61.2476,51.6403,83.7851,100
1.656,61.2811,51.3346,83.9602,100
1.658,61.3045,52.041,84.0828,100
1.66,61.3209,52.0753,84.1687,100
1.662,61.3324,51.6391,84.6889,100
1.664,61.3404,51.794,85.5133,100
1.666,61.8063,51.9024,85.17,100
1.668,62.5925,51.9783,85.3899,100
1.67,62.6827,52.0314,85.5438,100
1.672,62.2857,52.0686,85.6515,100
1.674,62.4679,52.5548,85.7269,100
1.676,62.5955,52.4349,86.2399,100
1.678,62.6848,52.3511,86.1388,100
1.68,62.7473,52.2923,87.4486,100
1.682,63.2513,52.2512,87.4451,100
1.684,63.604,52.2225,87.4426,100
1.686,63.851,52.6625,87.4409,100
1.688,63.5636,52.5104,87.4397,100
1.69,63.8227,52.4038,87.899,100
1.692,63.5438,52.3293,88.2206,100
1.694,63.8088,52.7373,88.4457,100
1.696,64.4545,52.5627,89.0634,100
1.698,64.9065,52.4405,89.4958,100
1.7,64.7627,52.3549,89.3383,100
1.702,64.662,52.7552,89.6883,100
1.704,64.5916,52.5753,89.9332,100
1.706,65.0024,52.4493,90.1047,100
1.708,64.8299,53.2815,90.2247,100
1.71,65.1692,52.9436,90.769,100
1.712,65.867,52.7071,91.6101,100
1.714,65.8952,53.0018,91.7387,100
1.716,65.915,52.7478,92.2889,100
1.718,65.9289,52.5701,92.2139,100
1.72,65.9385,52.9059,92.1614,100
1.722,65.9453,53.1409,92.5848,100
1.724,66.4103,53.3054,92.8812,100
1.726,66.2755,52.9604,93.0887,100
1.728,66.6414,53.1791,93.6941,100
1.73,66.8975,52.8719,94.5781,100
1.732,66.6166,53.1171,94.7367,100
1.734,66.8802,52.8286,94.8477,100
1.736,67.0646,53.0868,94.4652,100
1.738,67.1938,52.8074,95.1179,100
1.74,67.2842,53.0719,95.1145,100
1.742,67.3475,53.2572,95.5724,100
1.744,67.852,53.3868,95.8929,100
1.746,68.2051,53.0174,97.0376,100
1.748,67.9921,53.2189,97.3788,100
1.75,67.843,52.8999,97.1574,100
1.752,68.1988,53.1367,97.4626,100
1.754,67.9877,53.3025,97.6762,100
1.756,68.3001,52.9583,97.8258,100
1.758,68.5188,53.1776,97.9305,100
1.76,68.6719,52.8709,98.4639,100
1.762,68.7791,53.1164,99.7577,100
1.764,69.3143,52.8281,99.2828,100
1.766,69.2287,53.0865,99.8708,100
1.768,68.7086,53.7275,99.8222,100
1.77,68.8048,53.2559,99.7881,100
1.772,69.3323,52.9257,100.224,100
1.774,69.2413,53.1548,100.53,100
1.776,69.6378,52.8549,101.204,100
1.778,69.9154,53.1052,101.676,100
1.78,70.1097,52.8203,102.006,100
1.782,69.7855,53.081,102.237,100
1.784,70.0188,53.2635,102.399,100
1.786,70.1821,52.931,102.512,100
1.788,70.2964,53.1585,102.592,100
1.79,70.3764,52.8576,103.107,100
1.792,70.4324,52.6469,103.468,100
1.794,70.9318,52.9596,103.261,100
1.796,70.8212,52.7183,104.956,100
1.798,70.7438,52.5494,104.302,100
1.8,70.6895,53.3516,104.765,100
